,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
4713,Mirae Asset Mutual Fund,MAFSETF,Mirae Asset Nifty Financial Services ETF,Active,B ,10.00,INF769K01HI8,-,Equity,-,-,-,-,
4714,Gretex Corporate Services Limited,GCSL,Gretex Corporate Services Ltd,Active,M ,10.00,INE199P01028,Financial Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,
4715,Rolex Rings Limited,ROLEXRINGS,Rolex Rings Ltd,Active,B ,10.00,INE645S01016,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
4716,ICICI Prudential Mutual Fund,ICICIFMCG,ICICI Prudential FMCG ETF,Active,B ,10.00,INF109KC1R48,-,Equity,-,-,-,-,
4717,Exxaro Tiles Limited,EXXARO,Exxaro Tiles Ltd,Active,B ,10.00,INE0GFE01018,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring",
4718,Krsnaa Diagnostics Limited,KRSNAA,Krsnaa Diagnostics Ltd,Active,B ,5.00,INE08LI01020,Healthcare,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,
4719,Windlas Biotech Limited,WINDLAS,Windlas Biotech Ltd,Active,B ,5.00,INE0H5O01029,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
4720,Devyani International Limited,DEVYANI,Devyani International Ltd,Active,B ,1.00,INE872J01023,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,
4721,Meghmani Organics Limited,MOL,Meghmani Organics Ltd,Active,B ,1.00,INE0CT101020,Chemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,
4722,Meghmani Finechem Limited,MFL,Meghmani Finechem Ltd,Active,B ,10.00,INE071N01016,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
4723,CarTrade Tech Limited,CARTRADE,CarTrade Tech Ltd,Active,B ,10.00,INE290S01011,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,
4724,Nuvoco Vistas Corporation Limited,NUVOCO,Nuvoco Vistas Corporation Ltd,Active,B ,10.00,INE118D01016,Construction Materials,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
4725,Aptus Value Housing Finance India Limited,APTUS,Aptus Value Housing Finance India Ltd,Active,B ,2.00,INE852O01025,Financial Services,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
4726,Chemplast Sanmar Limited,CHEMPLASTS,Chemplast Sanmar Ltd,Active,B ,5.00,INE488A01050,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
4727,Kotak Mahindra Mutual Fund,KTKFMP292RG,Kotak FMP Series 292 - Regular Plan - Growth Option,Active,F ,10.00,INF174KA1HK6,-,MF,-,-,-,-,
4728,Kotak Mahindra Mutual Fund,KTKFMP292RI,Kotak FMP Series 292 - Regular Plan - IDCW Payout Option,Active,F ,10.00,INF174KA1HL4,-,MF,-,-,-,-,
4729,Kotak Mahindra Mutual Fund,KTKFMP292DG,Kotak FMP Series 292 - Direct Plan - Growth Option,Active,F ,10.00,INF174KA1HM2,-,MF,-,-,-,-,
4730,Kotak Mahindra Mutual Fund,KTKFMP292DI,Kotak FMP Series 292 - Direct Plan - IDCW Payout Option,Active,F ,10.00,INF174KA1HN0,-,MF,-,-,-,-,
4731,SHARPLINE BROADCAST LIMITED,SHARPLINE,Sharpline Broadcast Ltd,Active,XT,10.00,INE647W01014,Media- Entertainment & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Media,Advertising & Media Agencies,
4732,Nippon India Mutual Fund,NIMFHGAP,NIPPON INDIA FIXED HORIZON FUND - XLIII - SERIES 1 - DIRECT IDCW PLAN,Active,F ,10.00,INF204KC1188,-,MF,-,-,-,-,
4733,Nippon India Mutual Fund,NIMFHGAR,NIPPON INDIA FIXED HORIZON FUND - XLIII - SERIES 1 - DIRECT PLAN GROWTH OPTION,Active,F ,10.00,INF204KC1170,-,MF,-,-,-,-,
4734,Nippon India Mutual Fund,NIMFHGDP,NIPPON INDIA FIXED HORIZON FUND - XLIII - SERIES 1 -IDCW PLAN,Active,F ,10.00,INF204KC1162,-,MF,-,-,-,-,
4735,Nippon India Mutual Fund,NIMFHGRG,NIPPON INDIA FIXED HORIZON FUND - XLIII - SERIES 1 -  GROWTH OPTION,Active,F ,10.00,INF204KC1154,-,MF,-,-,-,-,
4736,Aashka Hospitals Limited,AASHKA,Aashka Hospitals Ltd,Active,M ,10.00,INE0EAX01014,Healthcare,Equity,Healthcare,Healthcare,Healthcare Services,Hospital,
4737,Axis Mutual Fund,AXISTECETF,AXIS TECHNOLOGY ETF,Active,B ,100.00,INF846K01Y96,-,Equity,-,-,-,-,
4738,Axis Mutual Fund,AXISHETF,AXIS HEALTHCARE ETF,Active,B ,10.00,INF846K01Z12,-,Equity,-,-,-,-,
4739,Ami Organics Limited,AMIORG,Ami Organics Ltd,Active,B ,10.00,INE00FF01017,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
4740,Vijaya Diagnostic Centre Limited,VIJAYA,Vijaya Diagnostic Centre Ltd,Active,B ,1.00,INE043W01024,Healthcare,Equity,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,
4741,Naapbooks Limited,NBL,Naapbooks Ltd,Active,MS,10.00,INE0GOA01018,Information Technology,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
4742,PlatinumOne Business Services Limited,POBS,PlatinumOne Business Services Ltd,Active,M ,10.00,INE0DTJ01015,Services,Equity,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),
4743,DSP Mutual Fund,D60MS264RG,DSP FMP - Series 264-60M-17D - Reg - Growth Mat Dt 29-09-2026,Active,F ,10.00,INF740KA1QE5,-,MF,-,-,-,-,
4744,DSP Mutual Fund,D60MS264RP,DSP FMP - Series 264-60M-17D - Reg - IDCW - Reg Pay Mat Dt 29-09-2026,Active,F ,10.00,INF740KA1QF2,-,MF,-,-,-,-,
4745,DSP Mutual Fund,D60MS264DG,DSP FMP - Series 264-60M-17D - Dir - Growth Mat Dt 29-09-2026,Active,F ,10.00,INF740KA1QH8,-,MF,-,-,-,-,
4746,DSP Mutual Fund,D60MS264DP,DSP FMP - Series 264-60M-17D - Dir - IDCW - Reg Pay Mat Dt 29-09-2026,Active,F ,10.00,INF740KA1QI6,-,MF,-,-,-,-,
4747,Axis Mutual Fund,AXISCETF,AXIS CONSUMPTION ETF,Active,B ,10.00,INF846K016C7,-,Equity,-,-,-,-,
4748,Sansera Engineering Limited,SANSERA,Sansera Engineering Ltd,Active,B ,2.00,INE953O01021,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
