,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
0,ABB India Limited,ABB,ABB India Limited,Active,A ,2.00,INE117A01022,Capital ods,Equity,Industrials,Capital ods,Electrical Equipment,Heavy Electrical Equipment,
1,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.00,INE208C01025,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas,
2,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.00,INE885A01032,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,
3,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,X ,10.00,INE432A01017,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
4,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.00,INE001A01036,Financial Services,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
5,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,B ,10.00,INE714B01016,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
6,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.00,INE436A01026,Realty,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
7,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10.00,INE096A01010,Financial Services,Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
8,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10.00,INE957C01019,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
9,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.00,INE032A01023,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
10,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.00,INE363A01022,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
11,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10.00,INE100A01010,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
12,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.00,INE447A01015,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Equipments,
13,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.00,INE193E01025,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
14,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.00,INE306A01021,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
15,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.00,INE451A01017,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,
16,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.00,INE296A01024,Financial Services,Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
17,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.00,INE119A01028,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
18,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.00,INE213C01025,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
19,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.00,INE055A01016,Forest Materials,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,
20,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,A ,10.00,INE459A01010,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
21,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10.00,INE373A01013,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
22,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5.00,INE176A01028,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,
23,BEML Ltd,BEML,BEML LTD.,Active,A ,10.00,INE258A01016,Capital ods,Equity,Industrials,Capital ods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,
24,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Capital ods,Equity,Industrials,Capital ods,Aerospace & Defense,Aerospace & Defense,
25,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
26,Bihar Sponge Iron Ltd,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.00,INE819C01011,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron,
27,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B ,10.00,INE800A01015,Telecommunication,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,
28,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Air Conditioner,
29,Disa India Ltd.,DISAQ,DISA INDIA LTD.,Active,X ,10.00,INE131C01011,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Machinery,
30,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10.00,INE418C01012,Financial Services,Equity,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,
31,"BPL Ltd.,",BPL,BPL LTD.,Active,B ,10.00,INE110A01019,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,
32,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
33,"Century Extrusions Ltd.,",CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.00,INE281A01026,Capital ods,Equity,Industrials,Capital ods,IN070205,"Aluminium, Copper & Zinc Products",
34,"CESC Limited,",CESC,CESC LTD.,Active,A ,1.00,INE486A01021,Power,Equity,Utilities,Power,Power,Electric Utilities,
35,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Chemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,
36,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Batteries - Automobile,
37,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
38,DIC India Ltd,DICIND,DIC INDIA LTD.,Active,B ,10.00,INE303A01010,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks,
39,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
40,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.00,INE067A01029,Capital ods,Equity,Industrials,Capital ods,Electrical Equipment,Heavy Electrical Equipment,
41,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Personal Products,Personal Care,
42,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
43,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,
44,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,Z ,2.00,INE294A01037,Forest Materials,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,
45,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Capital ods,Equity,Industrials,Capital ods,Electrical Equipment,Heavy Electrical Equipment,
46,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
47,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Services,Equity,Financial Services,Financial Services,Finance,Financial Institution,
48,"Mahanagar Telephone Nigam Ltd.,",MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,A ,10.00,INE153A01019,Telecommunication,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,
49,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
50,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,
51,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10.00,INE013A01015,Financial Services,Equity,Financial Services,Financial Services,Finance,Investment Company,
52,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Financial Services,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,
53,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
54,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",
55,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Financial Services,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
56,"DCW Ltd.,",DCW,DCW LTD.,Active,B ,2.00,INE500A01029,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,
57,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10.00,INE041A01016,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Sugar,
58,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Active,X ,10.00,INE591D01014,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
59,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B ,10.00,INE280B01018,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
60,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
61,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Other Agricultural Products,
62,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
63,"Electrosteel Castings Ltd.,",ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.00,INE086A01029,Capital ods,Equity,Industrials,Capital ods,IN070205,Castings & Forgings,
64,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10.00,INE284A01012,Capital ods,Equity,Industrials,Capital ods,IN070205,Other Industrial Products,
65,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Capital ods,Equity,Industrials,Capital ods,IN070205,Packaging,
66,"Ester Industries Ltd.,",ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.00,INE778B01029,Capital ods,Equity,Industrials,Capital ods,IN070205,Packaging,
67,FGP Ltd,FGP,FGP LTD.,Active,X ,10.00,INE512A01016,Financial Services,Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
68,P.H. Capital Ltd.,PHCAP,PH CAPITAL LTD.,Active,X ,10.00,INE160F01013,Financial Services,Equity,Financial Services,Financial Services,Finance,Investment Company,
69,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.00,INE235A01022,Capital ods,Equity,Industrials,Capital ods,IN070205,Cables - Electricals,
70,JOHN COCKERILL INDIA LIMITED,COCKERILL,John Cockerill India Ltd-$,Active,X ,10.00,INE515A01019,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Machinery,
71,Uflex Limited,UFLEX,UFLEX LTD.,Active,A ,10.00,INE516A01017,Capital ods,Equity,Industrials,Capital ods,IN070205,Packaging,
72,Foseco India Ltd,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.00,INE519A01011,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
73,Golden Tobacco Ltd.,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,B ,10.00,INE973A01010,Realty,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
74,"Ganesh Benzoplast Ltd.,",GANESHBE,GANESH BENZOPLAST LTD.,Active,B ,1.00,INE388A01029,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation,
75,Metroglobal Limited,METROGLOBL,Metroglobal Limited,Active,X ,10.00,INE085D01033,Services,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
76,GTL Ltd,GTL,GTL LTD.,Active,B ,10.00,INE043A01012,Telecommunication,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,
77,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.00,INE260B01028,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,
78,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Food Products,Animal Feed,
79,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.00,INE531A01024,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
80,"Goodricke Group Ltd.,",GOODRICKE,GOODRICKE GROUP LTD.,Active,X ,10.00,INE300A01016,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Tea & Coffee,
81,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,Active,B ,10.00,INE533A01012,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
82,GTN Industries Limited,GTNINDS,GTN INDUSTRIES LTD.,Active,X ,10.00,INE537A01013,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
83,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10.00,INE539A01019,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
84,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,B ,1.00,INE538A01037,Financial Services,Equity,Financial Services,Financial Services,Finance,Holding Company,
85,"Gujarat Lease Financing Limited,",GLFL,GUJARAT LEASE FINANCING LTD.,Active,B ,10.00,INE540A01017,Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,
86,HCL Infosystems Ltd,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,B ,2.00,INE236A01020,Information Technology,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,
87,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Financial Services,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
88,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,
89,HFCL LIMITED,HFCL,HFCL Ltd,Active,A ,1.00,INE548A01028,Telecommunication,Equity,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,
90,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
91,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.00,INE549A01026,Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
92,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10.00,INE345A01011,Oil- Gas & Consumable Fuels,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,
93,HSIL Limited,HSIL,HSIL LTD.,Active,A ,2.00,INE415A01038,Capital ods,Equity,Industrials,Capital ods,IN070205,Packaging,
94,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Metals & Mining,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc,
95,NXTDIGITAL LIMITED ,NXTDIGITAL,Nxtdigital Ltd,Active,B ,10.00,INE353A01023,Media- Entertainment & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,
96,HMT Limited,HMT,HMT LTD.,Active,Z ,10.00,INE262A01018,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Machinery,
97,Prag Bosimi Synthetics Ltd.,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD.,Active,XT,10.00,INE962B01011,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
98,HLV LIMITED,HLVLTD,HLV Ltd,Active,B ,2.00,INE102A01024,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
99,IG Petrochemicals Ltd,IGPL,I G PETROCHEMICALS LTD.,Active,B ,10.00,INE204A01010,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
100,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,A ,10.00,INE560A01015,Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
101,Margo Finance Limited,MARGOFIN,Margo Finance Limited,Active,X ,10.00,INE680B01019,Financial Services,Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
102,"Indo Rama Synthetics (India) Ltd.,",INDORAMA,INDO RAMA SYNTHETICS (INDIA) LTD.,Active,B ,10.00,INE156A01020,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
103,Infosys Ltd,INFY,INFOSYS LTD.,Active,A ,5.00,INE009A01021,Information Technology,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
104,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A ,10.00,INE177A01018,Capital ods,Equity,Industrials,Capital ods,IN070205,Compressors & Pumps,
105,Insilco Ltd,INSILCO,INSILCO LTD.,Active,X ,10.00,INE901A01011,Metals & Mining,Equity,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,
106,International Travel House Ltd,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,Active,X ,10.00,INE262B01016,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",
107,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A ,10.00,INE570A01014,Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
108,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,Active,A ,10.00,INE209A01019,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Agricultural Food & other Products,Edible Oil,
109,"Jain Irrigation Systems Ltd.,",JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Capital ods,Equity,Industrials,Capital ods,IN070205,Plastic Products - Industrial,
110,Jasch Industries Ltd.,JASCH,JASCH INDUSTRIES LTD.,Active,X ,10.00,INE711C01010,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
111,JCT Ltd,JCTLTD,JCT LTD.,Active,X ,2.50,INE945A01026,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
112,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,A ,10.00,INE197D01010,Capital ods,Equity,Industrials,Capital ods,IN070205,Packaging,
113,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.00,INE019A01038,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
114,Umang Dairies Limited,UMANGDAIR,UMANG DAIRIES LTD.,Active,B ,5.00,INE864B01027,Fast Moving Consumer ods,Equity,Fast Moving Consumer ods,Fast Moving Consumer ods,Food Products,Dairy Products,
115,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.00,INE217B01036,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring",
116,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,KAKATIYA CEMENT SUGAR & INDUSTRIES LTD.,Active,B ,10.00,INE437B01014,Construction Materials,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
117,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,Active,A ,5.00,INE907A01026,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
118,Kanel Industries Limited,KANELIND,Kanel Industries Limited,Active,X ,10.00,INE252C01015,Services,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
119,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.00,INE716A01013,Consumer Durables,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
120,K.G.Denim Ltd,KGDENIM,KG DENIM LTD.,Active,X ,10.00,INE104A01012,Textiles,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
121,"Kinetic Engineering Ltd.,",KINETICENG,KINETIC ENGINEERING LTD.,Active,XT,10.00,INE266B01017,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
122,"Kirloskar Brothers Ltd.,",KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,Active,A ,2.00,INE732A01036,Capital ods,Equity,Industrials,Capital ods,IN070205,Compressors & Pumps,
123,Kirloskar Industries Ltd,KIRLOSIND,Kirloskar Industries Ltd,Active,B ,10.00,INE250A01039,Capital ods,Equity,Industrials,Capital ods,IN070205,Castings & Forgings,
124,Kirloskar Ferrous Industries Ltd.,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,Active,A ,5.00,INE884B01025,Metals & Mining,Equity,Commodities,Metals & Mining,Ferrous Metals,Pig Iron,
125,Envair Electrodyne Ltd.,ENVAIREL,ENVAIR ELECTRODYNE LTD.,Active,X ,10.00,INE601C01013,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Machinery,
126,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Financial Services,Equity,Financial Services,Financial Services,Banks,Private Sector Bank,
127,KRISHNA FILAMENT INDUSTRIES LIMITED,KRIFILIND,Krishna Filament Industries Ltd,Active,XT,10.00,INE073A01019,Capital ods,Equity,Industrials,Capital ods,IN070205,Plastic Products - Industrial,
128,KSB LIMITED,KSB,KSB Ltd,Active,A ,10.00,INE999A01015,Capital ods,Equity,Industrials,Capital ods,IN070205,Compressors & Pumps,
129,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A ,10.00,INE337A01034,Automobile and Auto Components,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
130,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,A ,1.00,INE849A01020,Consumer Services,Equity,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,
131,"Lakshmi Machine Works Ltd.,",LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Capital ods,Equity,Industrials,Capital ods,Industrial Manufacturing,Industrial Machinery,
132,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Financial Services,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
133,Lupin Ltd,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
134,"Lyka Labs Ltd.,",LYKALABS,LYKA LABS LTD.,Active,B ,10.00,INE933A01014,Healthcare,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
